freq (Hz),Gain (dB),Phase (degC)
2844.461107,21.44748906,112.3290354
2884.031503,21.34730637,112.6127432
2924.152378,21.24763434,112.8994032
2964.83139,21.148485,113.1890182
3006.076303,21.04987062,113.4815899
3047.89499,20.9518037,113.7771186
3090.295433,20.85429696,114.0756033
3133.285724,20.75736338,114.3770416
3176.874071,20.66101613,114.6814294
3221.068791,20.56526866,114.9887615
3265.878322,20.47013463,115.2990305
3311.311215,20.37562796,115.6122277
3357.376142,20.28176277,115.9283427
3404.081897,20.18855346,116.2473629
3451.437393,20.09601464,116.5692744
3499.45167,20.00416117,116.8940607
3548.133892,19.91300816,117.2217038
3597.493352,19.82257093,117.5521833
3647.539469,19.73286507,117.8854768
3698.281798,19.64390639,118.2215596
3749.730022,19.55571093,118.5604045
3801.893963,19.46829498,118.9019821
3854.783577,19.38167506,119.2462604
3908.408958,19.29586792,119.5932049
3962.780343,19.21089054,119.9427784
4017.908108,19.12676012,120.2949409
4073.802778,19.0434941,120.6496495
4130.47502,18.96111014,121.0068587
4187.935651,18.87962611,121.3665196
4246.195639,18.7990601,121.7285802
4305.266105,18.71943043,122.0929856
4365.158322,18.64075561,122.4596773
4425.883724,18.56305434,122.8285935
4487.453899,18.48634556,123.1996688
4549.880602,18.41064838,123.5728342
4613.175746,18.3359821,123.9480171
4677.351413,18.2623662,124.3251408
4742.419853,18.18982035,124.704125
4808.393484,18.11836439,125.084885
4875.284901,18.04801831,125.467332
4943.10687,17.97880228,125.8513732
5011.872336,17.9107366,126.2369109
5081.594426,17.84384171,126.6238432
5152.286446,17.7781382,127.0120635
5223.96189,17.71364678,127.4014602
5296.634439,17.65038826,127.7919169
5370.317964,17.58838356,128.1833123
5445.026528,17.52765371,128.5755195
5520.774393,17.4682198,128.9684066
5597.576015,17.41010299,129.361836
5675.446054,17.35332453,129.7556646
5754.399373,17.29790567,130.1497433
5834.451043,17.24386772,130.5439172
5915.616342,17.19123201,130.9380252
5997.910763,17.14001986,131.3318999
6081.350013,17.09025256,131.7253674
6165.950019,17.0419514,132.1182472
6251.726928,16.9951376,132.5103518
6338.697113,16.94983231,132.9014868
6426.877173,16.9060566,133.2914506
6516.283941,16.86383141,133.6800339
6606.93448,16.82317756,134.06702
6698.846094,16.78411572,134.452184
6792.036326,16.74666634,134.8352932
6886.522963,16.71084969,135.2161063
6982.324041,16.67668577,135.5943735
7079.457844,16.64419432,135.9698359
7177.942913,16.61339477,136.3422258
7277.798045,16.5843062,136.7112656
7379.042301,16.55694728,137.0766685
7481.695005,16.53133629,137.4381371
7585.77575,16.50749101,137.7953642
